Date,Open,High,Low,Close,Volume,Adj Close
2014-12-12,31.34,31.72,31.25,31.27,3433700,31.27
2014-12-11,30.97,31.84,30.86,31.65,4137700,31.65
2014-12-10,32.07,32.18,31.39,31.40,2524000,31.40
2014-12-09,32.12,32.45,31.75,32.17,4058300,32.17
2014-12-08,32.28,32.56,31.99,32.31,5769700,32.31
2014-12-05,67.67,67.78,66.98,67.33,2708000,33.67
2014-12-04,68.68,68.85,68.19,68.40,2076600,34.20
2014-12-03,69.11,69.78,68.49,69.74,1703000,34.87
2014-12-02,68.72,69.24,68.20,69.11,1822400,34.56
2014-12-01,69.70,70.36,69.56,69.84,2165400,34.92
2014-11-28,69.71,70.25,69.30,69.84,1651800,34.92
2014-11-26,69.16,69.96,69.15,69.87,2092000,34.94
2014-11-25,68.95,69.27,68.52,68.85,2622000,34.42
2014-11-24,68.61,69.96,68.37,69.66,3964600,34.83
2014-11-21,67.19,67.91,66.94,67.85,1957000,33.92
2014-11-20,67.82,68.15,65.80,66.25,6056000,33.12
2014-11-19,67.44,67.53,66.99,67.22,3142200,33.61
2014-11-18,68.14,68.51,66.86,67.33,3150800,33.67
2014-11-17,68.00,68.89,67.94,67.99,1800400,33.99
2014-11-14,67.84,67.90,67.42,67.84,1386200,33.92
2014-11-13,68.02,68.27,67.71,67.96,1490200,33.98
2014-11-12,67.10,67.64,66.98,67.15,2566000,33.58
2014-11-11,67.64,67.86,67.04,67.19,1783800,33.60
2014-11-10,67.86,68.24,67.59,67.76,1805400,33.88
2014-11-07,67.62,68.27,67.62,68.00,2618800,34.00
2014-11-06,67.48,67.87,67.31,67.58,1425800,33.79
2014-11-05,67.70,68.13,66.86,67.49,2201200,33.74
2014-11-04,67.02,67.30,66.71,67.03,1474600,33.51
2014-11-03,66.70,67.26,66.63,67.00,2029800,33.50
2014-10-31,66.23,66.91,66.00,66.86,3450200,33.43
2014-10-30,64.21,65.43,64.08,65.24,2841000,32.62
2014-10-29,63.40,64.15,63.31,64.00,2757800,32.00
2014-10-28,62.20,62.78,62.11,62.73,3322000,31.36
2014-10-27,61.97,62.44,61.49,61.95,3548400,30.98
2014-10-24,61.70,62.67,61.46,62.18,2859800,31.09
2014-10-23,62.18,62.45,61.47,61.49,2300400,30.75
2014-10-22,62.03,62.50,61.60,61.72,1738400,30.86
2014-10-21,62.13,62.56,61.60,62.36,4497800,31.18
2014-10-20,61.56,62.45,61.49,62.24,4383200,31.12
2014-10-17,63.02,63.61,61.76,62.03,6678200,31.01
2014-10-16,62.34,63.24,61.57,62.90,4449600,31.45
2014-10-15,63.85,65.00,63.34,64.16,6622600,32.08
2014-10-14,63.20,65.49,63.20,64.48,5537000,32.24
2014-10-13,64.04,65.20,63.75,63.85,6600600,31.68
2014-10-10,62.40,63.56,61.85,62.82,11626000,31.17
2014-10-09,59.87,60.12,59.11,59.41,4968400,29.48
2014-10-08,59.07,60.51,59.07,60.37,4591200,29.95
