Date,Open,High,Low,Close,Volume,Adj Close
2014-12-12,260.75,261.00,259.00,259.47,4900,259.47
2014-12-11,265.09,266.04,263.00,263.40,1700,263.40
2014-12-10,269.00,269.50,266.23,268.04,4500,268.04
2014-12-09,265.40,271.31,265.18,266.20,26700,266.20
2014-12-08,270.14,271.77,267.54,267.54,2400,267.54
2014-12-05,270.25,271.80,270.25,270.66,1600,270.66
2014-12-04,270.75,272.76,270.75,271.80,2300,271.80
2014-12-03,272.49,273.00,271.98,272.63,1600,272.63
2014-12-02,276.99,276.99,273.00,274.25,2200,274.25
2014-12-01,275.01,275.01,270.77,271.40,2500,271.40
2014-11-28,278.50,278.50,275.06,275.06,400,275.06
2014-11-26,283.50,285.44,283.50,284.00,1500,284.00
2014-11-25,282.67,282.67,280.36,281.63,1600,281.63
2014-11-24,276.50,277.09,275.76,276.50,5200,276.50
2014-11-21,276.25,279.71,275.69,277.00,9000,277.00
2014-11-20,275.73,275.73,274.16,274.92,2500,274.92
2014-11-19,278.38,278.38,276.50,277.27,1200,277.27
2014-11-18,278.69,280.60,278.69,280.30,1700,280.30
2014-11-17,279.50,279.94,278.33,279.47,1100,279.47
2014-11-14,281.70,282.05,281.00,281.75,900,281.75
2014-11-13,284.87,286.50,284.12,285.83,1100,285.83
2014-11-12,285.25,285.25,283.00,284.22,1900,284.22
2014-11-11,288.00,289.94,288.00,289.50,600,289.50
2014-11-10,289.62,290.39,287.96,289.50,900,289.50
2014-11-07,291.55,292.01,289.55,291.85,1100,291.85
2014-11-06,286.00,287.80,286.00,286.31,1300,286.31
2014-11-05,293.38,293.50,291.99,293.19,700,293.19
2014-11-04,296.25,297.99,293.77,294.39,1000,294.39
2014-11-03,299.19,305.50,299.19,305.50,2500,305.50
2014-10-31,298.75,305.65,298.75,305.30,1600,305.30
2014-10-30,295.75,298.50,294.20,298.00,800,298.00
2014-10-29,298.83,300.34,296.51,297.50,500,297.50
2014-10-28,291.25,291.99,290.25,291.45,1100,291.45
2014-10-27,291.00,294.50,291.00,292.42,1100,292.42
2014-10-24,287.75,290.00,287.67,289.96,700,289.96
2014-10-23,292.44,292.44,289.52,290.44,1700,290.44
2014-10-22,292.18,293.78,290.69,290.72,7900,290.72
2014-10-21,291.12,291.87,289.82,291.75,1700,291.75
2014-10-20,290.41,292.14,289.60,291.45,2400,291.45
2014-10-17,289.75,291.03,286.66,290.32,1300,290.32
2014-10-16,286.00,292.32,286.00,291.62,1900,291.62
2014-10-15,292.00,292.00,286.35,288.63,34800,288.63
2014-10-14,293.00,295.00,291.94,291.95,1600,291.95
2014-10-13,295.50,295.50,289.77,289.77,1500,289.77
2014-10-10,295.72,295.72,293.00,294.54,1100,294.54
2014-10-09,299.25,301.50,294.76,295.00,8800,295.00
2014-10-08,300.53,306.26,300.53,306.26,1000,306.26
2014-10-07,303.30,305.00,302.14,303.07,1300,303.07
2014-10-06,303.79,305.00,303.79,304.70,1000,304.70
2014-10-03,304.50,305.52,304.50,305.39,1200,305.39
