Date,Open,High,Low,Close,Volume,Adj Close
2014-12-12,56.90,56.94,55.89,55.92,6709300,55.92
2014-12-11,56.75,57.28,56.50,56.84,5499800,56.84
2014-12-10,57.41,57.41,56.08,56.39,3501800,56.39
2014-12-09,57.07,57.38,56.00,57.34,3016000,57.34
2014-12-08,57.40,57.64,57.05,57.29,3242600,57.29
2014-12-05,57.46,58.10,57.43,57.88,2053700,57.88
2014-12-04,57.34,57.99,57.32,57.50,2503500,57.50
2014-12-03,56.92,57.58,56.92,57.28,2381600,57.28
2014-12-02,56.78,57.29,56.70,56.83,2543600,56.83
2014-12-01,56.85,57.13,56.70,56.71,2520800,56.71
2014-11-28,56.86,57.24,56.81,56.98,1683600,56.98
2014-11-26,56.52,57.08,56.52,56.81,1673500,56.81
2014-11-25,57.08,57.12,56.43,56.58,2873500,56.58
2014-11-24,57.22,57.44,56.66,57.23,3398300,57.23
2014-11-21,57.22,57.81,56.94,57.40,3629700,57.40
2014-11-20,57.03,57.38,56.64,56.72,4201400,56.72
2014-11-19,57.42,57.56,57.11,57.25,2420200,57.25
2014-11-18,57.27,58.61,56.99,57.23,5778500,57.23
2014-11-17,56.70,58.05,56.70,57.24,3703900,57.24
2014-11-14,57.37,57.75,56.80,57.07,3025900,57.07
2014-11-13,58.00,58.50,57.02,57.17,5445500,57.17
2014-11-12,57.74,58.56,57.72,58.44,4960500,58.12
2014-11-11,57.82,58.60,57.81,58.19,4507400,57.87
2014-11-10,57.92,58.38,57.46,58.04,5593700,57.72
2014-11-07,57.07,58.18,56.95,57.70,6540500,57.38
2014-11-06,57.96,58.87,57.78,58.72,6665300,58.40
2014-11-05,57.77,58.13,57.63,57.79,4555400,57.47
2014-11-04,57.49,58.25,57.03,57.99,5788500,57.67
2014-11-03,55.69,58.03,55.67,57.80,8214000,57.48
2014-10-31,56.89,57.10,55.92,56.47,7774800,56.16
2014-10-30,53.92,56.70,53.89,56.47,8363500,56.16
2014-10-29,54.77,55.48,54.07,54.49,3626700,54.19
2014-10-28,54.34,55.00,54.13,54.80,2932200,54.50
2014-10-27,53.41,54.48,53.41,54.00,2769200,53.70
2014-10-24,53.72,54.15,53.01,53.62,2917600,53.33
2014-10-23,53.53,54.06,53.41,53.60,2465000,53.31
2014-10-22,52.99,54.05,52.88,53.21,3597300,52.92
2014-10-21,52.19,53.30,51.72,53.26,4399900,52.97
2014-10-20,51.56,52.20,51.14,51.69,4271000,51.41
2014-10-17,52.01,53.00,50.73,51.14,4843200,50.86
2014-10-16,48.92,52.23,48.74,51.56,4844500,51.28
2014-10-15,48.94,50.10,47.36,50.09,5015600,49.81
2014-10-14,50.02,50.70,49.07,49.90,4027600,49.63
2014-10-13,52.14,52.15,49.82,49.86,6081400,49.59
2014-10-10,52.40,52.65,51.73,51.81,3325000,51.53
2014-10-09,54.07,54.38,52.50,52.82,3847700,52.53
2014-10-08,52.31,54.13,51.89,54.08,5074700,53.78
2014-10-07,53.76,53.87,52.69,52.73,2587600,52.44
