Date,Open,High,Low,Close,Volume,Adj Close
2014-12-12,20.98,21.41,20.90,20.92,143700,20.92
2014-12-11,21.27,21.96,21.26,21.28,127600,21.28
2014-12-10,21.58,21.90,21.13,21.15,140100,21.15
2014-12-09,20.70,21.72,20.67,21.69,160800,21.69
2014-12-08,21.04,21.35,20.82,20.97,150600,20.97
2014-12-05,20.74,21.37,20.74,21.17,163200,21.17
2014-12-04,20.77,20.77,20.57,20.73,198100,20.73
2014-12-03,20.75,20.90,20.67,20.79,164800,20.79
2014-12-02,20.54,20.80,20.54,20.65,375100,20.65
2014-12-01,20.75,20.90,20.51,20.54,211200,20.54
2014-11-28,21.17,21.17,20.70,20.72,117500,20.72
2014-11-26,21.09,21.31,20.88,21.15,110400,21.06
2014-11-25,21.21,21.32,21.01,21.12,101200,21.03
2014-11-24,20.64,21.24,20.61,21.19,109800,21.10
2014-11-21,20.86,20.87,20.58,20.61,123500,20.52
2014-11-20,19.93,20.50,19.74,20.45,144500,20.36
2014-11-19,20.73,20.73,19.94,20.06,268700,19.97
2014-11-18,20.56,20.92,20.37,20.74,200300,20.65
2014-11-17,20.89,20.93,20.40,20.47,152900,20.38
2014-11-14,21.11,21.12,20.90,20.96,179300,20.87
2014-11-13,21.58,21.58,21.03,21.12,159500,21.03
2014-11-12,21.04,21.51,20.86,21.47,127100,21.38
2014-11-11,20.80,21.22,20.62,21.13,115000,21.04
2014-11-10,20.88,20.99,20.70,20.84,207500,20.75
2014-11-07,20.93,20.97,20.56,20.81,192300,20.72
2014-11-06,19.55,20.88,19.15,20.87,193500,20.78
2014-11-05,20.50,20.50,19.99,20.27,173700,20.18
2014-11-04,19.90,20.29,19.90,20.25,248700,20.16
2014-11-03,19.65,20.17,19.43,20.13,261700,20.04
2014-10-31,19.94,19.94,19.37,19.65,227400,19.57
2014-10-30,18.99,19.69,18.90,19.44,145800,19.36
2014-10-29,19.39,19.53,18.93,19.14,116900,19.06
2014-10-28,18.47,19.34,18.26,19.29,179200,19.21
2014-10-27,18.12,18.37,17.76,18.27,75800,18.19
