Date,Open,High,Low,Close,Volume,Adj Close
2014-12-12,37.67,38.02,37.14,37.32,120100,37.32
2014-12-11,38.18,39.07,38.17,38.22,86600,38.22
2014-12-10,39.43,39.96,37.96,38.00,127200,38.00
2014-12-09,37.99,39.72,37.85,39.64,166400,39.64
2014-12-08,39.03,39.21,38.27,38.69,117400,38.69
2014-12-05,39.03,39.82,39.03,39.31,101700,39.31
2014-12-04,38.85,39.30,38.28,39.01,146100,39.01
2014-12-03,38.11,39.27,38.11,39.00,211700,39.00
2014-12-02,37.78,38.62,37.78,38.29,93300,38.29
2014-12-01,37.86,38.65,37.27,37.61,154400,37.61
2014-11-28,38.78,39.16,38.12,38.26,105800,38.26
2014-11-26,38.67,39.23,38.36,38.84,177100,38.84
2014-11-25,38.93,39.12,38.54,38.64,99100,38.64
2014-11-24,38.46,39.33,38.18,38.95,169900,38.95
2014-11-21,38.91,39.35,38.02,38.50,127400,38.50
2014-11-20,37.29,38.31,37.29,38.24,99900,38.24
2014-11-19,37.40,37.98,36.88,37.53,143200,37.53
2014-11-18,37.32,37.92,37.25,37.53,81900,37.53
2014-11-17,36.93,37.35,36.79,37.15,111500,37.15
2014-11-14,37.07,37.49,36.93,37.11,120300,37.11
2014-11-13,37.79,37.92,36.95,37.15,126000,37.15
2014-11-12,36.68,37.92,36.33,37.64,120300,37.64
2014-11-11,37.26,37.51,36.71,36.94,233900,36.94
2014-11-10,36.92,37.28,36.92,37.24,125200,37.24
2014-11-07,36.68,37.05,36.28,36.99,177900,36.99
2014-11-06,35.83,36.65,35.27,36.60,149500,36.60
2014-11-05,35.15,35.88,35.00,35.67,132400,35.67
2014-11-04,34.94,35.30,34.77,34.95,91300,34.95
2014-11-03,35.60,35.75,34.78,34.99,155400,34.99
2014-10-31,35.55,35.55,35.01,35.41,175500,35.41
2014-10-30,34.95,35.38,34.60,34.79,139200,34.79
2014-10-29,35.00,35.63,34.58,35.07,176600,35.07
2014-10-28,33.80,35.00,33.61,34.96,204700,34.96
2014-10-27,33.58,34.24,33.06,33.54,200000,33.54
2014-10-24,35.48,35.48,33.56,33.70,275300,33.70
2014-10-23,31.40,37.20,31.40,35.62,880900,35.62
2014-10-22,32.12,32.18,29.56,30.14,369000,29.93
2014-10-21,32.00,32.29,31.72,32.10,182000,31.88
2014-10-20,30.80,31.75,30.80,31.72,200500,31.50
2014-10-17,30.85,31.16,30.23,30.67,219200,30.46
2014-10-16,29.47,30.62,29.01,30.32,184200,30.11
2014-10-15,28.98,30.14,28.67,29.95,223200,29.75
2014-10-14,29.92,29.94,29.22,29.46,190400,29.26
2014-10-13,30.03,30.44,29.63,29.67,170800,29.47
2014-10-10,31.04,31.45,29.84,29.91,298400,29.71
2014-10-09,32.28,32.29,31.12,31.20,174900,30.99
2014-10-08,32.16,32.70,31.39,32.40,245300,32.18
2014-10-07,32.90,33.11,32.28,32.28,169000,32.06
2014-10-06,33.73,34.23,33.09,33.11,201600,32.88
2014-10-03,34.88,34.98,33.40,33.73,176800,33.50
2014-10-02,34.07,34.60,33.76,34.50,133200,34.27
2014-10-01,36.05,36.08,33.66,34.17,283200,33.94
2014-09-30,36.69,36.72,35.95,36.16,417900,35.91
2014-09-29,36.73,37.06,36.47,36.90,110500,36.65
2014-09-26,36.35,37.18,36.27,37.11,72700,36.86
2014-09-25,37.16,37.27,36.23,36.34,136300,36.09
2014-09-24,36.96,37.41,36.59,37.31,93900,37.06
2014-09-23,37.07,37.15,36.70,36.73,79100,36.48
2014-09-22,37.11,37.54,36.95,37.15,74400,36.90
2014-09-19,37.59,37.93,37.02,37.23,172700,36.98
2014-09-18,37.68,37.88,37.47,37.57,65500,37.31
2014-09-17,37.30,37.76,37.22,37.63,102700,37.37
2014-09-16,37.13,37.55,36.96,37.27,65900,37.02
2014-09-15,37.26,37.55,36.75,37.29,141600,37.04
2014-09-12,37.56,37.56,37.07,37.31,165200,37.06
2014-09-11,37.38,37.61,37.20,37.54,196500,37.28
2014-09-10,37.41,37.72,37.19,37.50,164700,37.24
2014-09-09,38.37,38.37,37.43,37.46,153300,37.21
2014-09-08,38.51,38.70,38.04,38.38,74100,38.12
2014-09-05,38.42,38.68,37.85,38.43,95100,38.17
2014-09-04,39.04,39.43,38.45,38.56,82000,38.30
2014-09-03,39.28,39.47,38.78,39.05,146500,38.78
2014-09-02,38.88,39.45,38.81,38.94,118900,38.68
2014-08-29,39.12,39.45,38.60,38.83,121300,38.57
2014-08-28,39.80,39.83,38.90,39.08,110100,38.81
2014-08-27,40.25,40.25,39.71,39.87,87900,39.60
2014-08-26,39.87,40.09,39.74,39.94,69300,39.67
2014-08-25,39.99,40.10,39.50,39.72,105400,39.45
2014-08-22,39.88,39.88,39.52,39.64,70000,39.37
2014-08-21,40.23,40.23,39.63,39.87,106800,39.60
2014-08-20,40.33,40.35,40.04,40.19,49600,39.92
2014-08-19,40.31,40.70,40.26,40.40,106400,40.13
2014-08-18,40.54,40.85,40.22,40.41,141200,40.14
2014-08-15,40.66,40.82,39.70,40.13,159600,39.86
2014-08-14,40.26,40.48,40.05,40.26,61700,39.99
2014-08-13,39.80,40.41,39.80,40.25,115700,39.98
2014-08-12,39.83,40.26,39.37,39.66,118300,39.39
2014-08-11,39.77,40.40,39.72,40.02,93300,39.75
2014-08-08,39.53,39.80,39.07,39.72,124000,39.45
2014-08-07,39.79,39.93,39.07,39.54,130800,39.27
2014-08-06,39.89,40.37,39.52,39.68,233800,39.41
2014-08-05,40.30,40.31,39.45,39.91,129900,39.64
2014-08-04,39.97,40.46,38.95,40.35,184700,40.08
2014-08-01,39.85,39.96,39.08,39.65,137600,39.38
2014-07-31,40.00,40.40,39.31,39.74,258400,39.47
2014-07-30,41.13,41.34,40.02,40.14,121300,39.87
2014-07-29,40.98,41.28,40.51,40.73,180700,40.45
2014-07-28,41.06,41.16,40.53,40.97,102000,40.69
2014-07-25,41.20,41.43,40.92,41.12,235400,40.84
2014-07-24,41.50,41.85,41.19,41.56,191300,41.28
2014-07-23,42.09,42.09,41.39,41.48,76600,41.20
2014-07-22,41.69,42.51,41.69,42.01,172900,41.72
2014-07-21,41.66,41.66,41.06,41.57,152700,41.29
2014-07-18,40.73,41.83,40.73,41.72,269100,41.44
2014-07-17,40.60,40.95,40.59,40.81,175400,40.53
2014-07-16,40.76,40.98,40.41,40.70,100800,40.42
2014-07-15,40.88,41.04,40.33,40.87,273700,40.39
2014-07-14,41.12,41.25,40.61,40.84,213100,40.36
2014-07-11,40.60,40.97,40.60,40.68,147500,40.21
2014-07-10,41.17,41.32,40.73,40.84,158700,40.36
2014-07-09,41.78,42.24,41.14,42.01,263300,41.52
2014-07-08,41.78,41.94,41.18,41.81,214700,41.32
2014-07-07,41.94,41.95,41.50,41.76,172700,41.27
2014-07-03,41.34,41.98,40.92,41.97,160800,41.48
2014-07-02,40.44,41.93,40.25,41.31,704300,40.83
2014-07-01,38.62,39.67,38.37,39.53,313200,39.07
2014-06-30,38.14,38.74,38.03,38.70,175000,38.25
2014-06-27,37.11,38.26,37.11,38.05,426300,37.61
2014-06-26,37.48,37.56,37.13,37.44,116900,37.00
2014-06-25,37.13,37.73,37.13,37.61,91000,37.17
2014-06-24,37.27,37.99,37.13,37.20,180200,36.77
2014-06-23,37.58,37.68,37.10,37.43,110300,36.99
2014-06-20,36.80,37.43,36.66,37.37,267500,36.93
2014-06-19,36.81,37.12,36.47,36.91,109000,36.48
2014-06-18,36.58,36.75,35.74,36.71,101600,36.28
2014-06-17,36.04,36.80,35.37,36.56,93300,36.13
2014-06-16,36.47,36.66,36.01,36.12,72200,35.70
2014-06-13,36.66,36.85,36.39,36.66,59400,36.23
2014-06-12,37.23,37.24,36.61,36.72,70700,36.29
2014-06-11,36.98,37.41,36.82,37.23,96600,36.80
2014-06-10,37.00,37.30,36.95,37.28,222000,36.85
2014-06-09,36.72,37.25,36.72,37.17,108200,36.74
2014-06-06,36.69,36.94,36.06,36.83,161400,36.40
2014-06-05,35.24,36.64,35.10,36.47,236000,36.04
2014-06-04,34.14,35.49,34.10,35.19,235900,34.78
2014-06-03,34.66,34.89,33.72,34.16,261400,33.76
2014-06-02,35.19,35.34,34.53,34.87,85700,34.46
2014-05-30,35.26,35.44,34.71,35.21,102800,34.80
2014-05-29,35.08,35.30,34.64,35.15,88200,34.74
2014-05-28,34.64,35.18,34.60,35.03,172300,34.62
2014-05-27,34.24,34.88,34.24,34.83,177000,34.42
